"","date","stock","ret30","ret60","ret90","ret120","ret200"
"1","2011-08-08","A",0.0764742062346249,0.0838451783705871,0.0113636446581136,0.325552807882556,0.252149865083984
"2","2020-03-12","A",0.194418202283765,0.423683441301906,0.514033428383268,0.594449797995894,0.849731972555407
"3","2022-02-23","A",0.0532540238095238,-0.0285714126984127,-0.0431746190476191,0.0537301904761904,0.240317452380952
"4","2011-08-08","AA",-0.00706086353517354,-0.0820830023077214,-0.210944358680805,-0.0891438658428949,-0.240070572273038
"5","2011-09-22","AA",0.0751730105266122,-0.128585635883532,0.00890199446117701,0.0237388302645585,-0.169139500075141
"6","2011-11-23","AA",0.0619369369369369,0.168918918918919,0.104729682866387,-0.0427927459294501,0.0506757225390184
"7","2013-08-30","AA",0.097402602666721,0.245454558720137,0.388311763342995,0.528571511183073,0.901298804054391
"8","2015-03-16","AA",0.0142965265795647,-0.0842738301563049,-0.250564310618884,-0.279909683998265,-0.237772737607359
"9","2015-07-01","AA",-0.158988294141507,-0.1806684733514,-0.178861826210161,-0.158084914182475,-0.0885275895344609
"10","2015-08-07","AA",0.0520722635494155,-0.0255048263705083,-0.030818322651061,-0.22529224229543,0.00106265503225456
"11","2015-11-12","AA",0.276214780543928,-0.0358056265984655,0.223785166240409,0.28388746803069,0.300511562167069
"12","2016-01-12","AA",0.218406663054347,0.287087928498713,0.251373755068856,0.271978094688078,0.272435970172127
"13","2018-07-20","AA",0.10788685515873,-0.123511904761905,-0.226438467261905,-0.29191470734127,-0.387648784722222
"14","2015-08-24","AAL",0.0135566723433458,0.124401917182401,0.125730970912572,0.0263158433364126,-0.112174298569226
"15","2016-02-02","AAL",0.142587149408241,-0.0286253855961485,-0.105049962329191,-0.0332163119961196,0.208749641068043
"16","2016-04-29","AAL",-0.0833093134421826,0.0536177588243805,0.117036642174593,0.171230964866848,0.34246184325344
"17","2016-06-03","AAL",0.169425516696706,0.173969463614718,0.239857261923313,0.495618419202156,0.31191169464173
"18","2018-04-26","AAL",0.0174652352481763,-0.102194904465303,-0.0377625451442658,-0.214538593687482,-0.156242604584437
"19","2018-06-22","AAL",-0.0711003178283105,-0.0135428543430643,-0.16178956042513,-0.214993940265729,-0.177267191161654
"20","2018-10-09","AAL",0.0608048006201134,-0.0178836965092011,0.0450075125188529,0.00476900163245908,-0.0837555613638021
"21","2019-05-23","AAL",0.111525457627119,-0.115254237288136,-0.0915254576271186,0.000677966101694905,-0.423728813559322
"22","2020-02-25","AAL",-0.557958496628093,-0.573096904277816,-0.459342583938469,-0.423442931511984,-0.237456823639411
"23","2020-04-02","AAL",-0.101391650099404,0.324055666003976,0.364811133200795,0.185884691848907,0.587475149105368
"24","2020-05-06","AAL",0.782702702702702,0.202162162162162,0.433513513513514,0.275675675675676,1.20972983783784
"25","2021-11-30","AAL",0.0457885220017795,-0.013001808196619,-0.0621820767562421,-0.0531374192686591,-0.22272474716084
"26","2022-01-26","AAL",-0.125615763546798,0.242610837438424,0.00369451970443357,-0.063423645320197,-0.0806650246305418
"27","2022-03-04","AAL",0.270733447566827,0.224811583276217,-0.0233036326250856,-0.0116518163125429,-0.144619602467443
"28","2016-02-10","AAP",0.167785226423493,0.0862379764475294,0.122753800539247,0.202352548051759,0.234321890450651
"29","2017-05-24","AAP",-0.233724275034603,-0.298902426735756,-0.253044669882885,-0.381446425155723,-0.109833104500583
"30","2017-07-05","AAP",-0.130215731681549,-0.0542723985768691,-0.235338867363738,-0.044292330047451,-0.013781931506339
"31","2017-08-15","AAP",0.140675237926614,-0.0880799015140122,0.149862134821724,0.288470308027784,0.473817099820462
"32","2019-08-14","AAP",0.175031131400428,0.24023732726803,0.158473069145246,0.00388306088786505,0.02417750662402
"33","2012-12-14","AAPL",-0.103885886497808,-0.151611391028125,-0.181623773774447,-0.139076833169612,-0.0396830082850981
"34","2013-01-24","AAPL",-0.0416871176454244,-0.115050032981573,-0.00264163352919233,-0.0448169642321626,0.137602492888591
"35","2013-03-01","AAPL",-0.0246707266567967,0.0254837263785983,-0.0226264866970571,0.167003503138332,0.287964254290494
"36","2013-04-15","AAPL",0.0514230982358166,0.00209594853308603,0.196522584765773,0.151387398819699,0.19268781524175
"37","2015-08-21","AAPL",0.0474659210489441,0.0796141800448495,0.0147503398354636,-0.111289783990553,-0.0644856253976692
"38","2016-01-05","AAPL",-0.0627981306591374,0.0708791354298512,-0.118683711420504,-0.103884723980138,0.140297965144582
"39","2016-05-05","AAPL",0.0224153162769332,0.137387479081402,0.157764914533029,0.26823257263975,0.466108986105062
"40","2018-12-19","AAPL",0.0643918204984772,0.159363540307042,0.308471651438871,0.20672504195413,0.411274759152216
"41","2015-09-28","ABBV",0.204380952380952,0.0969523809523811,0.0118095047619047,0.0668571047619049,0.211809504761905
"42","2018-07-20","ABBV",0.0795185995042806,0.00303673363910772,-0.0138342587410073,-0.00674846443601562,-0.122820892011207
"43","2018-10-19","ABBV",0.0646811746654408,-0.008753029342355,-0.0967375457913204,-0.0788905527010281,-0.255996404956276
"44","2019-01-28","ABBV",0.0207414962502137,0.0198340552221163,-0.000907428064654381,-0.11148558609652,0.11044860137994
"45","2019-05-31","ABBV",-0.0839525757261448,-0.133620129495765,-0.0414548304191739,0.160474490424645,-0.0481032726906957
"46","2019-08-02","ABBV",0.0800306680958123,0.198622867593661,0.324560071141854,0.278347414792576,0.395562353345443
"47","2016-01-19","ABC",-0.053058179673026,-0.0631078877987046,-0.20369568614982,-0.111951598098643,-0.24583963425719
